
  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 00:04:57       │
  │   node v26.8.2 · win32 · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/2
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

00:04:57  BOOT       › Dashboard-Webserver gestartet (Port 7777).
11:15:07  ADMIN      › 910maxi › download.zip · LoveBot-All-in-One
11:15:07  200 ✓ POST /api/downloads/zip  · 51 ms
11:15:11  200 ✓ GET  /api/heartbeat  · 1 ms
11:18:39  200 ✓ GET  /api/maintenance  · 1 ms
11:18:39  200 ✓ GET  /api/heartbeat  · 1 ms
11:18:39  200 ✓ GET  /api/me  · 3 ms
11:18:39  200 ✓ GET  /api/me  · 3 ms
11:18:40  200 ✓ GET  /api/downloads/list  · 4 ms
11:18:41  200 ✓ GET  /api/downloads/list  · 3 ms
11:18:47  401 ✕ GET  /api/sessions/all  · 3 ms
11:18:48  200 ✓ GET  /api/heartbeat  · 1 ms
11:18:56  200 ✓ GET  /api/heartbeat  · 1 ms
11:20:44  200 ✓ GET  /api/heartbeat  · 1 ms
11:20:57  200 ✓ GET  /api/heartbeat  · 2 ms
11:21:05  200 ✓ GET  /api/heartbeat  · 1 ms
11:28:18  200 ✓ GET  /api/maintenance  · 1 ms
11:28:18  200 ✓ GET  /api/heartbeat  · 2 ms
11:28:18  200 ✓ GET  /api/me  · 4 ms
11:28:18  200 ✓ GET  /api/me  · 3 ms
11:28:18  401 ✕ GET  /api/sessions/all  · 4 ms
11:28:23  200 ✓ POST /api/logout  · 7 ms
11:28:23  200 ✓ GET  /api/heartbeat  · 2 ms
11:28:28  200 ✓ GET  /api/maintenance  · 2 ms
11:28:28  200 ✓ GET  /api/commands  · 2 ms
11:28:28  200 ✓ GET  /api/siteinfo  · 4 ms
12:01:03  200 ✓ GET  /api/maintenance  · 1 ms
12:01:03  200 ✓ GET  /api/commands  · 1 ms
12:01:03  200 ✓ GET  /api/siteinfo  · 3 ms
12:01:08  200 ✓ GET  /api/heartbeat  · 2 ms
12:01:16  200 ✓ POST /api/check-number  · 1 ms
12:01:23  AUDIT      › 49•••••••4714 › login.owner_no2fa · web → success
12:01:23  AUTH_OWNER_LOGIN_NO2FA     185.47.235.132           risk 5
12:01:23  200 ✓ POST /api/login  · 6 ms
12:01:24  200 ✓ GET  /api/maintenance  · 2 ms
12:01:24  200 ✓ GET  /api/heartbeat  · 1 ms
12:01:24  200 ✓ GET  /api/me  · 3 ms
12:01:24  200 ✓ GET  /api/me  · 4 ms
12:01:24  200 ✓ GET  /api/stats  · 6 ms
12:01:24  200 ✓ GET  /api/logs  · 3 ms
12:01:24  200 ✓ GET  /api/sessions  · 4 ms
12:01:26  401 ✕ GET  /api/sessions/all  · 3 ms
12:01:32  200 ✓ GET  /api/heartbeat  · 1 ms
12:01:34  STEP_UP_REAUTH_OK          910maxi                  risk 5
12:01:34  ADMIN      › 910maxi › reauth.ok · reauth.verify
12:01:34  200 ✓ POST /api/reauth/verify  · 6 ms
12:01:34  200 ✓ GET  /api/sessions/all  · 3 ms
12:01:34  200 ✓ GET  /api/stats  · 5 ms
12:01:34  200 ✓ GET  /api/accounts  · 4 ms
12:01:34  200 ✓ GET  /api/groups  · 3 ms
12:01:34  200 ✓ GET  /api/admin-actions  · 3 ms
12:01:34  200 ✓ GET  /api/sessions  · 3 ms
12:01:40  200 ✓ GET  /api/heartbeat  · 1 ms
12:01:42  STEP_UP_REAUTH_OK          910maxi                  risk 5
12:01:42  ADMIN      › 910maxi › export.xlsx · owner-export
12:01:42  200 ✓ POST /api/export/xlsx  · 41 ms
12:02:04  200 ✓ GET  /api/heartbeat  · 1 ms
12:02:11  200 ✓ GET  /api/groups  · 2 ms
12:02:12  200 ✓ GET  /api/heartbeat  · 1 ms
12:02:14  200 ✓ GET  /api/groups  · 3 ms
12:02:15  200 ✓ GET  /api/groups  · 3 ms
12:02:20  200 ✓ GET  /api/heartbeat  · 1 ms
12:02:28  401 ✕ POST /api/groups/toggle  · 3 ms
12:02:28  200 ✓ GET  /api/heartbeat  · 1 ms
12:02:36  200 ✓ GET  /api/heartbeat  · 1 ms
12:02:37  STEP_UP_REAUTH_OK          910maxi                  risk 5
12:02:37  AUDIT      › 910maxi › feature.antilink.off · 120363411386930403 (𓆩♡𓆪 910maxi 𓆩♡𓆪 Dev gruppe) — Brauche ich ned → success
12:02:37  ADMIN      › 910maxi › feature.toggle · 120363411386930403 | 𓆩♡𓆪 910maxi 𓆩♡𓆪 Dev gruppe | antilink
12:02:37  200 ✓ POST /api/groups/toggle  · 11 ms
12:02:37  200 ✓ GET  /api/groups  · 2 ms
12:02:42  200 ✓ GET  /api/stats  · 4 ms
12:02:42  200 ✓ GET  /api/logs  · 4 ms
12:02:42  200 ✓ GET  /api/sessions  · 3 ms
12:02:44  200 ✓ GET  /api/downloads/list  · 3 ms
12:02:44  200 ✓ GET  /api/heartbeat  · 1 ms
12:02:47  200 ✓ GET  /api/logs  · 2 ms
12:02:50  200 ✓ GET  /api/logs  · 3 ms
12:02:52  200 ✓ GET  /api/heartbeat  · 1 ms
12:02:53  200 ✓ GET  /api/logs  · 3 ms
12:02:56  200 ✓ GET  /api/logs  · 2 ms
12:02:59  200 ✓ GET  /api/logs  · 2 ms
12:03:00  200 ✓ GET  /api/logs  · 3 ms
12:03:00  200 ✓ GET  /api/heartbeat  · 1 ms
12:03:00  200 ✓ GET  /api/logs  · 3 ms
12:03:01  200 ✓ GET  /api/logs  · 3 ms
12:03:02  200 ✓ GET  /api/logs  · 3 ms
12:03:03  200 ✓ GET  /api/logs  · 4 ms
12:03:03  200 ✓ GET  /api/logs  · 3 ms
12:03:03  200 ✓ GET  /api/logs  · 2 ms
12:03:04  200 ✓ GET  /api/logs  · 3 ms
12:03:04  200 ✓ GET  /api/logs  · 2 ms
12:03:05  200 ✓ GET  /api/logs  · 3 ms
12:03:06  200 ✓ GET  /api/logs  · 3 ms
12:03:06  200 ✓ GET  /api/logs  · 3 ms
12:03:06  200 ✓ GET  /api/logs  · 3 ms
12:03:08  200 ✓ GET  /api/logs  · 3 ms
12:03:08  200 ✓ POST /api/logout  · 2 ms
12:03:09  200 ✓ GET  /api/heartbeat  · 2 ms
12:03:09  200 ✓ GET  /api/maintenance  · 1 ms
12:03:10  200 ✓ GET  /api/commands  · 2 ms
12:03:10  200 ✓ GET  /api/siteinfo  · 2 ms
12:03:15  200 ✓ GET  /api/maintenance  · 1 ms
12:03:16  200 ✓ GET  /api/siteinfo  · 3 ms
12:03:18  200 ✓ GET  /api/maintenance  · 1 ms
12:03:18  200 ✓ GET  /api/siteinfo  · 3 ms
12:03:18  200 ✓ GET  /api/commands  · 1 ms
12:03:23  200 ✓ GET  /api/siteinfo  · 2 ms
12:03:28  200 ✓ GET  /api/siteinfo  · 2 ms
12:03:33  200 ✓ GET  /api/siteinfo  · 3 ms
12:03:38  200 ✓ GET  /api/siteinfo  · 3 ms
12:03:44  200 ✓ GET  /api/siteinfo  · 2 ms
13:57:54  200 ✓ GET  /api/maintenance  · 2 ms
13:57:54  200 ✓ GET  /api/commands  · 1 ms
13:57:55  200 ✓ GET  /api/siteinfo  · 2 ms
13:58:12  200 ✓ GET  /api/heartbeat  · 2 ms
13:58:43  200 ✓ POST /api/check-number  · 2 ms
13:58:52  200 ✓ GET  /api/siteinfo  · 3 ms
13:59:05  200 ✓ GET  /api/maintenance  · 1 ms
13:59:07  200 ✓ GET  /api/commands  · 1 ms
13:59:08  200 ✓ GET  /api/siteinfo  · 3 ms
13:59:20  200 ✓ GET  /api/maintenance  · 1 ms
13:59:20  200 ✓ GET  /api/commands  · 1 ms
13:59:21  200 ✓ GET  /api/siteinfo  · 2 ms
14:18:16  200 ✓ GET  /api/maintenance  · 1 ms
14:18:16  200 ✓ GET  /api/commands  · 1 ms
14:18:16  200 ✓ GET  /api/siteinfo  · 3 ms
14:40:06  200 ✓ GET  /api/maintenance  · 1 ms
14:40:06  200 ✓ GET  /api/commands  · 2 ms
14:40:06  200 ✓ GET  /api/siteinfo  · 2 ms
15:46:55  200 ✓ GET  /api/maintenance  · 1 ms
15:46:55  200 ✓ GET  /api/commands  · 2 ms
15:46:55  200 ✓ GET  /api/siteinfo  · 2 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 15:48:51       │
  │   node v20.20.2 · linux · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

15:48:51  BOOT       › Dashboard-Webserver gestartet (Port 7777).
15:48:56  200 ✓ GET  /api/leaderboard  · 7 ms
15:48:56  200 ✓ GET  /api/legal-check  · 1 ms
15:48:56  200 ✓ GET  /api/legal-check
15:48:56  200 ✓ GET  /api/leaderboard  · 1 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 15:49:14       │
  │   node v20.20.2 · linux · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

15:49:14  BOOT       › Dashboard-Webserver gestartet (Port 7777).
15:49:21  200 ✓ GET  /api/leaderboard  · 8 ms
15:50:10  200 ✓ GET  /api/legal-check  · 1 ms
15:50:10  200 ✓ GET  /api/leaderboard  · 1 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 16:06:23       │
  │   node v20.20.2 · linux · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

16:06:23  BOOT       › Dashboard-Webserver gestartet (Port 7777).
16:06:28  500 !! GET  /api/health  · 7 ms
16:07:10  500 !! GET  /api/health  · 1 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 16:07:21       │
  │   node v20.20.2 · linux · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

16:07:21  BOOT       › Dashboard-Webserver gestartet (Port 7777).
16:07:24  200 ✓ GET  /api/health  · 9 ms
16:07:31  200 ✓ GET  /api/xp  · 7 ms
16:07:42  AUDIT      › 910maxi › xp.adjusted · 4915155894714jid269574108926096lid: +100 XP — Test Phase 1: LoveCore-Integration → success
16:07:42  200 ✓ POST /api/xp/adjust  · 4 ms
16:07:42  400 ✕ POST /api/xp/adjust  · 2 ms
16:07:49  200 ✓ GET  /api/security/rules  · 1 ms
16:07:49  401 ✕ POST /api/security/rules  · 1 ms
16:07:56  ABUSE_BURST_DETECTED       127.0.0.1                risk 35
16:08:03  200 ✓ GET  /api/admin/overview  · 4 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 16:08:37       │
  │   node v20.20.2 · linux · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

16:08:37  BOOT       › Dashboard-Webserver gestartet (Port 7777).
16:08:39  200 ✓ GET  /api/xp  · 14 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 16:09:56       │
  │   node v20.20.2 · linux · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

16:09:56  BOOT       › Dashboard-Webserver gestartet (Port 7777).
16:10:07  200 ✓ GET  /api/xp  · 12 ms
16:10:07  200 ✓ GET  /api/health  · 1 ms
16:10:07  200 ✓ GET  /api/security/rules
16:10:07  200 ✓ GET  /api/admin/overview  · 4 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 16:27:46       │
  │   node v20.20.2 · linux · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

16:27:46  BOOT       › Dashboard-Webserver gestartet (Port 7777).
16:27:53  200 ✓ GET  /api/accounts/acc_867efdf11ac19e00/detail/full  · 12 ms
16:27:53  200 ✓ GET  /api/owner-alerts  · 2 ms
16:27:53  200 ✓ GET  /api/features

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 16:28:07       │
  │   node v20.20.2 · linux · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

16:28:07  BOOT       › Dashboard-Webserver gestartet (Port 7777).
16:28:13  200 ✓ GET  /api/owner-alerts  · 9 ms
16:28:13  200 ✓ POST /api/owner-alerts/read  · 2 ms
16:29:11  200 ✓ GET  /api/accounts/acc_867efdf11ac19e00/detail/full  · 4 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 16:56:30       │
  │   node v20.20.2 · linux · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

16:56:30  BOOT       › Dashboard-Webserver gestartet (Port 7777).
16:56:44  401 ✕ GET  /api/notifications  · 8 ms
16:56:44  401 ✕ GET  /api/xp/rules  · 1 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 19:16:13       │
  │   node v26.8.2 · win32 · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

19:16:13  BOOT       › Dashboard-Webserver gestartet (Port 7777).
19:18:18  200 ✓ GET  /api/maintenance  · 10 ms
19:18:18  200 ✓ GET  /api/commands  · 1 ms
19:18:18  200 ✓ GET  /api/siteinfo  · 5 ms
19:18:18  200 ✓ GET  /api/statistics  · 11 ms
19:18:27  200 ✓ GET  /api/maintenance  · 1 ms
19:18:27  200 ✓ GET  /api/commands  · 33 ms
19:18:27  200 ✓ GET  /api/siteinfo  · 6 ms
19:18:27  200 ✓ GET  /api/statistics  · 4 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 19:19:41       │
  │   node v26.8.2 · win32 · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

19:19:41  BOOT       › Dashboard-Webserver gestartet (Port 7777).

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 20:34:33       │
  │   node v20.20.2 · linux · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:17999
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

20:34:33  BOOT       › Dashboard-Webserver gestartet (Port 17999).
20:34:36  200 ✓ GET  /api/leaderboard  · 9 ms
20:34:36  200 ✓ GET  /api/leaderboard  · 1 ms
20:34:37  401 ✕ GET  /api/profile/me  · 1 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 20:40:56       │
  │   node v20.20.2 · linux · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:17998
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

20:40:56  BOOT       › Dashboard-Webserver gestartet (Port 17998).
20:41:01  200 ✓ GET  /api/leaderboard  · 10 ms
20:41:01  401 ✕ GET  /api/profile/me  · 1 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 21:31:21       │
  │   node v20.20.2 · linux · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:17997
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

21:31:21  BOOT       › Dashboard-Webserver gestartet (Port 17997).
21:31:27  401 ✕ GET  /api/groups  · 8 ms
21:31:27  401 ✕ GET  /api/economy  · 1 ms
21:31:27  401 ✕ GET  /api/progression/me

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  11.9.2026, 01:01:20       │
  │   node v26.8.2 · win32 · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
